YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,BRAND,DEPARTMENT,CLASS,VAR_SP,VAR_CM
2008,8,Aug,55-64,228.73000000000002,PRIVATE,all,all,sales,month
2008,8,Aug,65+,444.36,NATIONAL,all,all,sales,month
2008,8,Aug,65+,70.09,PRIVATE,all,all,sales,month
2008,9,Sep,19-24,1315.03,NATIONAL,all,all,sales,month
2008,9,Sep,19-24,356.55,PRIVATE,all,all,sales,month
2008,9,Sep,25-34,5703.69,NATIONAL,all,all,sales,month
2008,9,Sep,25-34,26246.77,PRIVATE,all,all,sales,month
2008,9,Sep,35-44,5290.88,NATIONAL,all,all,sales,month
2008,9,Sep,35-44,9240.960000000001,PRIVATE,all,all,sales,month
2008,9,Sep,45-54,6374.15,NATIONAL,all,all,sales,month
2008,9,Sep,45-54,3860.94,PRIVATE,all,all,sales,month
2008,9,Sep,55-64,983.97,NATIONAL,all,all,sales,month
2008,9,Sep,55-64,144.58,PRIVATE,all,all,sales,month
2008,9,Sep,65+,287.66,NATIONAL,all,all,sales,month
2008,9,Sep,65+,48.32,PRIVATE,all,all,sales,month
2008,10,Oct,19-24,2281.58,NATIONAL,all,all,sales,month
2008,10,Oct,19-24,346.67,PRIVATE,all,all,sales,month
2008,10,Oct,25-34,5546.71,NATIONAL,all,all,sales,month
2008,10,Oct,25-34,25824.47,PRIVATE,all,all,sales,month
2008,10,Oct,35-44,6069.01,NATIONAL,all,all,sales,month
2008,10,Oct,35-44,9459.25,PRIVATE,all,all,sales,month
2008,10,Oct,45-54,7379.4,NATIONAL,all,all,sales,month
2008,10,Oct,45-54,4199.3,PRIVATE,all,all,sales,month
2008,10,Oct,55-64,415.18,NATIONAL,all,all,sales,month
2008,10,Oct,55-64,185.99,PRIVATE,all,all,sales,month
2008,10,Oct,65+,445.92,NATIONAL,all,all,sales,month
