CUSTOMER_INCOME_LEVEL,YEAR,CUSTOMER_AGE_GROUP,PRIVATE,DEPARTMENT,CLASS,VAR_CM,ORDER_BY,X_AXIS,VAR_SP,NATIONAL
1,2007,19-24,136.01,DRY FOOD,GROCERY,country,1,Greece,profit,379.43
1,2007,19-24,569.9,DRY FOOD,GROCERY,country,1,Portugal,profit,1234.42
1,2007,19-24,466.44,DRY FOOD,GROCERY,country,1,Germany,profit,1585.6499999999999
1,2007,19-24,95.47,DRY FOOD,GROCERY,country,1,Bulgaria,profit,353.96999999999997
1,2007,19-24,568.66,DRY FOOD,GROCERY,country,1,Belgium,profit,1684.77
1,2008,all,1021.9200000000001,all,all,country,1,Sweden,profit,1964.76
1,2008,all,1435.3799999999999,all,all,country,1,Spain,profit,4740.9
1,2008,all,1132.01,all,all,country,1,Portugal,profit,2326.6
1,2008,all,547.75,all,all,country,1,Poland,profit,1400.31
1,2007,19-24,466.9,DRY FOOD,GROCERY,country,1,France,profit,1191.25
1,2008,all,385.66999999999996,all,all,country,1,Norway,profit,934.63
1,2007,19-24,703.04,DRY FOOD,GROCERY,country,1,Spain,profit,2931.65
1,2008,19-24,609.33,DRY FOOD,GROCERY,country,1,Belgium,profit,1671.22
1,2007,all,145.60999999999999,DRY FOOD,GROCERY,country,1,Bulgaria,profit,392.22999999999996
1,2007,all,1006.9499999999999,DRY FOOD,GROCERY,country,1,Belgium,profit,1896.03
1,2008,19-24,514.22,DRY FOOD,GROCERY,country,1,Sweden,profit,1502.57
1,2008,19-24,929.6,DRY FOOD,GROCERY,country,1,Spain,profit,3779.36
1,2008,19-24,673.9399999999999,DRY FOOD,GROCERY,country,1,Portugal,profit,1634.17
1,2008,19-24,259.46,DRY FOOD,GROCERY,country,1,Poland,profit,1003.81
1,2007,19-24,481.33,DRY FOOD,GROCERY,country,1,Sweden,profit,1587.1
1,2008,19-24,197.76999999999998,DRY FOOD,GROCERY,country,1,Norway,profit,752.4
1,2008,19-24,26.73,DRY FOOD,GROCERY,country,1,Luxembourg,profit,126.16
1,2008,19-24,596.1999999999999,DRY FOOD,GROCERY,country,1,Lithuania,profit,2169.53
1,2008,19-24,111.53999999999999,DRY FOOD,GROCERY,country,1,Greece,profit,694.03
1,2008,19-24,482.87,DRY FOOD,GROCERY,country,1,Germany,profit,1783.38
1,2008,19-24,456.58,DRY FOOD,GROCERY,country,1,France,profit,1552.25
1,2008,19-24,282.11,DRY FOOD,GROCERY,country,1,Bulgaria,profit,879.6
1,2008,19-24,393.98,DRY FOOD,GROCERY,country,1,Netherlands,profit,1101.19
1,2008,all,655.23,all,all,country,1,Netherlands,profit,1661.14
1,2008,all,57.57,all,all,country,1,Luxembourg,profit,179.89
