YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,VAR_SP,VAR_CM
2008,1,Greece,35-44,4135.61,sales,country
2008,1,Greece,45-54,3323.3,sales,country
2008,1,Greece,55-64,296.67,sales,country
2008,1,Greece,65+,125.14,sales,country
2008,1,Lithuania,19-24,3349.84,sales,country
2008,1,Lithuania,25-34,55348.63,sales,country
2008,1,Lithuania,35-44,23586.32,sales,country
2008,1,Lithuania,45-54,14691.2,sales,country
2008,1,Lithuania,55-64,1582.31,sales,country
2008,1,Lithuania,65+,519.69,sales,country
2008,1,Luxembourg,19-24,194.05,sales,country
2008,1,Luxembourg,25-34,1642.55,sales,country
2008,1,Luxembourg,35-44,2084.16,sales,country
2008,1,Luxembourg,45-54,1357.11,sales,country
2008,1,Luxembourg,55-64,122.82000000000001,sales,country
2008,1,Luxembourg,65+,31.94,sales,country
2008,1,Netherlands,19-24,1695.3700000000001,sales,country
2008,1,Netherlands,25-34,38892.22,sales,country
2008,1,Netherlands,35-44,12051.01,sales,country
2008,1,Netherlands,45-54,8871.51,sales,country
2008,1,Netherlands,55-64,747.14,sales,country
2008,1,Netherlands,65+,393.56,sales,country
2008,1,Norway,19-24,1029.29,sales,country
2008,1,Norway,25-34,11114.8,sales,country
2008,1,Norway,35-44,5037.81,sales,country
2008,1,Norway,45-54,3639.44,sales,country
2008,1,Norway,55-64,399.96,sales,country
2008,1,Norway,65+,183.17,sales,country
2008,1,Poland,19-24,1522.47,sales,country
2008,1,Poland,25-34,16488.12,sales,country
2008,1,Poland,35-44,11088.92,sales,country
2008,1,Poland,45-54,7887.7,sales,country
2008,1,Poland,55-64,580.92,sales,country
2008,1,Poland,65+,308.54,sales,country
2008,1,Portugal,19-24,2659.36,sales,country
2008,1,Portugal,25-34,58380.51,sales,country
2008,1,Portugal,35-44,20719.7,sales,country
2008,1,Portugal,45-54,12784.23,sales,country
2008,1,Portugal,55-64,1359.49,sales,country
2008,1,Portugal,65+,554.83,sales,country
2008,1,Spain,19-24,5269.52,sales,country
2008,1,Spain,25-34,55105.3,sales,country
2008,1,Spain,35-44,26894.34,sales,country
2008,1,Spain,45-54,18901.98,sales,country
2008,1,Spain,55-64,1783.74,sales,country
2008,1,Spain,65+,654.66,sales,country
2008,1,Sweden,19-24,2319.56,sales,country
2008,1,Sweden,25-34,22603.13,sales,country
2008,1,Sweden,35-44,14053.94,sales,country
2008,1,Sweden,45-54,8725.4,sales,country
2008,1,Sweden,55-64,878.89,sales,country
2008,1,Sweden,65+,605.34,sales,country
2007,1,Belgium,all,84992.96,sales,country
2007,1,Bulgaria,all,19377.82,sales,country
2007,1,France,all,48693.9,sales,country
2007,1,Germany,all,68618.63,sales,country
2007,1,Greece,all,10473.9,sales,country
