YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,BRAND,DEPARTMENT,CLASS,PRODUCT_DESC,VAR_SP,VAR_CM
2008,6,Jun,25-34,16542.38,PRIVATE,all,all,all,sales,month
2008,6,Jun,35-44,1323.02,NATIONAL,all,all,all,sales,month
2008,6,Jun,35-44,1872.34,PRIVATE,all,all,all,sales,month
2008,6,Jun,45-54,2007.33,NATIONAL,all,all,all,sales,month
2008,6,Jun,45-54,345.73,PRIVATE,all,all,all,sales,month
2008,6,Jun,55-64,1157.92,NATIONAL,all,all,all,sales,month
2008,6,Jun,55-64,20.42,PRIVATE,all,all,all,sales,month
2008,6,Jun,65+,259.03,NATIONAL,all,all,all,sales,month
2008,6,Jun,65+,17.64,PRIVATE,all,all,all,sales,month
2008,7,Jul,19-24,103.87,NATIONAL,all,all,all,sales,month
2008,7,Jul,19-24,70.48,PRIVATE,all,all,all,sales,month
2008,7,Jul,25-34,1960.56,NATIONAL,all,all,all,sales,month
2008,7,Jul,25-34,14748.78,PRIVATE,all,all,all,sales,month
2008,7,Jul,35-44,1525.8,NATIONAL,all,all,all,sales,month
2008,7,Jul,35-44,1882.49,PRIVATE,all,all,all,sales,month
2008,7,Jul,45-54,1855.28,NATIONAL,all,all,all,sales,month
2008,7,Jul,45-54,334.43,PRIVATE,all,all,all,sales,month
2008,7,Jul,55-64,482.86,NATIONAL,all,all,all,sales,month
2008,7,Jul,55-64,11.66,PRIVATE,all,all,all,sales,month
2008,7,Jul,65+,289.28,NATIONAL,all,all,all,sales,month
2008,7,Jul,65+,17.58,PRIVATE,all,all,all,sales,month
2008,8,Aug,19-24,76.96000000000001,NATIONAL,all,all,all,sales,month
2008,8,Aug,19-24,121.08,PRIVATE,all,all,all,sales,month
2008,8,Aug,25-34,2068.16,NATIONAL,all,all,all,sales,month
2008,8,Aug,25-34,17383.46,PRIVATE,all,all,all,sales,month
2008,8,Aug,35-44,1628.97,NATIONAL,all,all,all,sales,month
2008,8,Aug,35-44,2367.65,PRIVATE,all,all,all,sales,month
2008,8,Aug,45-54,2814.46,NATIONAL,all,all,all,sales,month
2008,8,Aug,45-54,453.34,PRIVATE,all,all,all,sales,month
2008,8,Aug,55-64,878.84,NATIONAL,all,all,all,sales,month
2008,8,Aug,55-64,13.450000000000001,PRIVATE,all,all,all,sales,month
2008,8,Aug,65+,344.37,NATIONAL,all,all,all,sales,month
2008,8,Aug,65+,20.59,PRIVATE,all,all,all,sales,month
