WEEK_NO,CLASS,SUB_CLASS,PRODUCT_DESC,YEAR,QUARTERS,DEPARTMENT,QUANTITY,DISCOUNT_YN,VAR_GRP
84,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,13.0,1,Q
85,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,14.0,1,Q
86,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,15.0,1,Q
87,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,13.0,1,Q
88,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,13.0,1,Q
89,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,12.0,1,Q
90,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,6.0,0,Q
91,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,6.0,0,Q
92,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,4,FRESH FOOD,12.0,0,Q
93,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,4,FRESH FOOD,6.0,0,Q
94,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,4,FRESH FOOD,3.0,0,Q
95,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,4,FRESH FOOD,10.0,0,Q
96,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,4,FRESH FOOD,6.0,0,Q
97,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,4,FRESH FOOD,3.0,0,Q
98,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,4,FRESH FOOD,10.0,0,Q
99,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,4,FRESH FOOD,10.0,1,Q
100,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,4,FRESH FOOD,12.0,1,Q
101,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,4,FRESH FOOD,12.0,1,Q
102,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,4,FRESH FOOD,14.0,1,Q
1,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,3.0,1,Q
2,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,1.0,1,Q
3,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,9.0,1,Q
4,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,3.0,1,Q
5,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,2.0,1,Q
6,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,4.0,1,Q
7,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,7.0,1,Q
8,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,6.0,0,Q
9,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,8.0,1,Q
10,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,9.0,1,Q
11,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,21.0,1,Q
12,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,9.0,1,Q
13,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,1,DRY FOOD,8.0,1,Q
14,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,6.0,1,Q
15,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,36.0,1,Q
16,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,22.0,1,Q
17,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,11.0,1,Q
18,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,4.0,1,Q
19,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,9.0,1,Q
20,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,11.0,1,Q
